RADICADO,FECHA 1,HORA,DÍA DE LA SEMANA,CLASE,DIRECCIÓN,GRAVEDAD,BARRIO,DISEÑO
8718,2011-08-19,2:40:00,VIERNES,CHOQUE,CARRERA 50 X KILOMETRO 94 LA MANSA PRIMAVERA-LA TOLVA,HERIDOS,LA TOLVA,TRAMO DE VIA
8719,2011-08-19,9:20:00,VIERNES,CHOQUE,DIAGONAL 53 B X CALLE 124 SUR LAR MARGARITAS,DAÑOS,LAS MARGARITAS,TRAMO DE VIA
8720,2011-08-22,12:10:00,LUNES,CHOQUE,CARRERA 50 X CALLE 122 SUR,HERIDOS,LA INMACULADA,TRAMO DE VIA
8721,2011-08-23,5:50:00,MARTES,CHOQUE,CARRERA 50 X CALLE 107 SUR LA VARIANTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8722,2011-08-25,1:10:00,JUEVES,CHOQUE,CARRERA 45 X CALLE 125 SUR - 201,DAÑOS,LA VARIANTE,TRAMO DE VIA
8723,2011-08-28,7:20:00,DOMINGO,CHOQUE,CALLE 134 SUR X CARRERA 45 LA VARIANTE,DAÑOS,LA VARIANTE,INTERSECCION
8724,2011-08-27,7:20:00,SABADO,CHOQUE,CARRERA 50 X DIAGONAL 53 LA DOCENA,HERIDOS,LA DOCENA,TRAMO DE VIA
8725,2011-08-27,3:10:00,SABADO,ATROPELLO,CALLE 129 SUR X CARRERA 54 PARQUE LA LOCERIA,HERIDOS,PARQUE LA LOCERIA,TRAMO DE VIA
8726,2011-08-27,9:50:00,SABADO,ATROPELLO,CARRERA 45 X CALLE 128 SUR LA VARIANTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8727,2011-08-26,2:30:00,VIERNES,CHOQUE,CARRERA 50 X KILOMETRO 54 LA MANSA PRIMAVERA,HERIDOS,PRIMAVERA,TRAMO DE VIA
8728,2011-08-26,2:00:00,VIERNES,CHOQUE,CARRERA 50 X KILOMETRO 86 LA MANI VIA  AMAGA,DAÑOS,LA MANÍ,TRAMO DE VIA
8729,2011-08-27,5:10:00,SABADO,CHOQUE,CARRERA 50 X KILOMETRO 47 EL SESENTA VIA ALTO DE MINAS,DAÑOS,EL SESENTA,TRAMO DE VIA
8730,2011-08-28,9:50:00,DOMINGO,CHOQUE,CARRERA 50 X KILOMETRO 54 LA Y PRIMEVERA,HERIDOS,PRIMAVERA,INTERSECCION
8731,2011-08-22,6:30:00,LUNES,CHOQUE,CARRERA 50 X KILOMETRO 51 + 850 EL SENA,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8732,2011-08-28,7:45:00,DOMINGO,CHOQUE,CARRERA 50 X KILOEMTRO 90 SECTOR LA QUIEBRA,HERIDOS,LA QUIEBRA,TRAMO DE VIA
8733,2011-08-28,6:30:00,DOMINGO,CHOQUE,CARRERA 50 X KILOMETRO 45 VIA LA PINTADA,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8734,2011-08-31,8:30:00,MIERCOLES,ATROPELLO,CARRERA 50 X KILOMETRO 51 + 650 VIA LA PINTADA,HERIDOS,ALTO DE MINAS,TRAMO DE VIA
